	Features	0-precision	1-precision	0-recall	1-recall	0-fscore	1-fscore	Accuracy	Std-Error
65	Glucose,DiabetesPedigreeFunction	0.8148148148148148	0.7111111111111111	0.8712871287128713	0.6153846153846154	0.8421052631578947	0.6597938144329897	0.7364201125994952	0.06888314494933012
66	Glucose,DiabetesPedigreeFunction,Age	0.9	0.6027397260273972	0.7128712871287128	0.8461538461538461	0.7955801104972375	0.7040000000000001	0.7502620850320326	0.06078348595563756
67	Glucose,BMI	0.8247422680412371	0.625	0.7920792079207921	0.6730769230769231	0.8080808080808082	0.6481481481481483	0.7264414676761793	0.04722622528280807
68	Glucose,BMI,Age	0.8809523809523809	0.6086956521739131	0.7326732673267327	0.8076923076923077	0.8	0.6942148760330579	0.7363618714812658	0.0392249115051817
69	Glucose,BMI,DiabetesPedigreeFunction	0.8163265306122449	0.6181818181818182	0.7920792079207921	0.6538461538461539	0.8040201005025126	0.6355140186915889	0.7442050087361677	0.04478247575639299
70	Glucose,BMI,DiabetesPedigreeFunction,Age	0.8631578947368421	0.6724137931034483	0.8118811881188119	0.75	0.8367346938775511	0.709090909090909	0.724480683362454	0.0529720891295757
71	Glucose,Insulin	0.7961165048543689	0.62	0.8118811881188119	0.5961538461538461	0.803921568627451	0.607843137254902	0.7245195107746069	0.03608589689588998
72	Glucose,Insulin,Age	0.9058823529411765	0.6470588235294118	0.7623762376237624	0.8461538461538461	0.8279569892473118	0.7333333333333334	0.7305377596583188	0.051966215914437855
73	Glucose,Insulin,DiabetesPedigreeFunction	0.7844827586206896	0.7297297297297297	0.900990099009901	0.5192307692307693	0.8387096774193549	0.6067415730337079	0.7521452145214521	0.059396093349207264
74	Glucose,Insulin,DiabetesPedigreeFunction,Age	0.8484848484848485	0.6851851851851852	0.8316831683168316	0.7115384615384616	0.84	0.6981132075471698	0.7187342263638128	0.05650200983506184
75	Glucose,Insulin,BMI	0.8387096774193549	0.6166666666666667	0.7722772277227723	0.7115384615384616	0.8041237113402062	0.6607142857142857	0.7284216656959813	0.04521715960531062
76	Glucose,Insulin,BMI,Age	0.84	0.6792452830188679	0.8316831683168316	0.6923076923076923	0.835820895522388	0.6857142857142857	0.7285187342263638	0.03898760392693774
77	Glucose,Insulin,BMI,DiabetesPedigreeFunction	0.8247422680412371	0.625	0.7920792079207921	0.6730769230769231	0.8080808080808082	0.6481481481481483	0.7284604931081343	0.043727389505359864
78	Glucose,Insulin,BMI,DiabetesPedigreeFunction,Age	0.851063829787234	0.6440677966101694	0.7920792079207921	0.7307692307692307	0.8205128205128204	0.6846846846846847	0.7344399145796933	0.05151654346727672
79	Glucose,SkinThickness	0.8247422680412371	0.625	0.7920792079207921	0.6730769230769231	0.8080808080808082	0.6481481481481483	0.7205979421471559	0.027711295694475703
80	Glucose,SkinThickness,Age	0.8987341772151899	0.5945945945945946	0.7029702970297029	0.8461538461538461	0.7888888888888888	0.6984126984126985	0.7206755969714619	0.04929008074077019
81	Glucose,SkinThickness,DiabetesPedigreeFunction	0.8017241379310345	0.7837837837837838	0.9207920792079208	0.5576923076923077	0.8571428571428572	0.651685393258427	0.7462240341681227	0.04188983853190585
82	Glucose,SkinThickness,DiabetesPedigreeFunction,Age	0.8598130841121495	0.8043478260869565	0.9108910891089109	0.7115384615384616	0.8846153846153846	0.7551020408163265	0.7483207144243836	0.06620072064132188
83	Glucose,SkinThickness,BMI	0.8588235294117647	0.5882352941176471	0.7227722772277227	0.7692307692307693	0.7849462365591399	0.6666666666666667	0.710774606872452	0.04805798533608159
84	Glucose,SkinThickness,BMI,Age	0.8202247191011236	0.5625	0.7227722772277227	0.6923076923076923	0.7684210526315789	0.6206896551724138	0.7125994952436421	0.0434263993108942
85	Glucose,SkinThickness,BMI,DiabetesPedigreeFunction	0.8571428571428571	0.5797101449275363	0.7128712871287128	0.7692307692307693	0.7783783783783783	0.6611570247933884	0.7048922539312754	0.05462350408612984
86	Glucose,SkinThickness,BMI,DiabetesPedigreeFunction,Age	0.8160919540229885	0.5454545454545454	0.7029702970297029	0.6923076923076923	0.7553191489361702	0.6101694915254238	0.7344205008736168	0.05160574267044461
